hardware,hardware_label,engine,version,operator,phase,compute_tag,kv_cache_dtype,kernel_source,rows
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,attention,decode,bfloat16,bfloat16,torch_flow,20120
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,attention,decode,bfloat16,fp8,torch_flow,20120
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,mla,prefill,bfloat16,bfloat16,default,880
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,mla,prefill,bfloat16,fp8,default,880
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,mla,decode,bfloat16,bfloat16,default,1448
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,mla,decode,bfloat16,fp8,default,1448
rtx_pro_6000_server,RTX PRO 6000,vllm,0.19.0,attention,prefill,bfloat16,bfloat16,vllm_flash_attn,10908
rtx_pro_6000_server,RTX PRO 6000,vllm,0.19.0,attention,prefill,bfloat16,fp8,vllm_flashinfer,10908
rtx_pro_6000_server,RTX PRO 6000,vllm,0.19.0,attention,decode,bfloat16,bfloat16,vllm_flash_attn,8454
rtx_pro_6000_server,RTX PRO 6000,vllm,0.19.0,attention,decode,bfloat16,fp8,vllm_flashinfer,8454
